,tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,Unnamed: 9,totpop16,pop24_16,NHW16,A20_34y16,College16,mdfami16,mdrent16,Unnamed: 17,NHW00_16,A20_34y00_16,College00_16,mdfami00_16,mdrent00_16,Unnamed: 23,scores_raw,score_0.025,score_0.5,score_0.975,Unnamed: 28,medprice04,medpr_unit04,medpr_sf04,medprice15,medpr_unit15,medpr_sf15,medpr_sf15_IA,sales04,sales15,Status_NYC
1836,36081080900,Kew Gardens Hills,6401,4489,4072.0,1562,1507.0,55438,690,,7246,5075,3218,1324,1883,88047,1001,,-0.301883717,-0.251216177,0.105,0.588206645,0.450724638,,-1.445878499,-2.045836871,-0.977076614,0.06498123,,450000.0,407500.0,265.335,645750.0,607500.0,441.585,345.0,110.0,58.0,High to High
1837,36081081400,South Ozone Park,3159,1849,42.0,573,227.0,58854,867,,4091,2598,84,983,491,60746,1532,,0.544365681,0.324704594,0.539,0.032147348,0.767012687,,-0.068566529,-1.147828214,-0.229604156,0.699837232,,310000.0,250500.0,250.31,357500.0,311250.0,308.065,240.5,295.0,116.0,High to High
1838,36081081800,South Ozone Park,3531,2190,203.0,899,276.0,51354,962,,4542,2745,203,860,291,59107,1405,,-0.222589168,-0.256314443,-0.159,0.150971687,0.46049896,,-2.251577454,-2.105993089,-1.181627851,-0.256751102,,375000.0,265000.0,252.34,447000.0,317500.0,299.15,234.0,193.0,59.0,High to High
1839,36081083700,Queensboro Hill,5412,4008,1550.0,1161,1048.0,57675,858,,5444,3821,460,1224,749,53917,1290,,-0.704970254,0.048066572,-0.25,-0.065158214,0.503496503,,-2.57078767,-2.985579607,-2.139709416,-1.285292082,,470000.0,360750.0,271.0,735000.0,650000.0,473.86,370.0,198.0,137.0,High to High
1840,36081083800,South Ozone Park,4764,3190,1386.0,1069,532.0,56141,808,,5705,3820,674,1277,764,71724,1532,,-0.593918906,-0.00246235,0.199,0.277568978,0.896039604,,-0.859366584,-1.925830054,-0.879085968,0.173912163,,403500.0,300000.0,255.865,439000.0,361000.0,308.53,241.0,228.0,92.0,High to High
1841,36081084000,South Ozone Park,6900,4400,1108.0,1474,469.0,48448,848,,6342,4190,386,1341,683,60855,1147,,-0.620972782,-0.010184735,0.529,0.256089003,0.35259434,,-1.44699642,-1.774481628,-0.901588069,-0.024442344,,381550.0,270000.0,253.755,438685.5,308750.0,300.91,235.0,276.0,114.0,High to High
1842,36081084500,Flushing,4883,3441,918.0,904,870.0,40565,755,,4630,3808,238,849,556,27151,993,,-0.726573874,-0.009521636,-0.423,-0.330679157,0.315231788,,-3.869955856,-3.963889756,-2.949769648,-1.923781983,,525000.0,383500.0,252.04,875000.0,487000.0,390.09,304.5,51.0,32.0,High to High
1843,36081084601,South Ozone Park,2809,1878,895.0,608,331.0,58594,804,,2762,1958,565,533,466,72083,1517,,-0.357972726,-0.108437702,0.35,0.230211284,0.88681592,,-0.753835981,-1.87129005,-0.82263742,0.217216872,,500000.0,297250.0,234.37,567500.0,350000.0,282.575,220.5,114.0,66.0,High to Low
1844,36081084602,South Ozone Park,611,285,221.0,223,23.0,58875,1108,,1123,761,93,264,134,73438,1920,,-0.771043947,-0.355889294,1.182,0.247354565,0.732851986,,-1.263386049,-1.673273892,-0.797298522,0.100773869,,442500.0,300000.0,278.215,483500.0,338750.0,333.08,260.5,48.0,20.0,High to High
1845,36081084900,Flushing,7176,4823,444.0,1974,838.0,34470,754,,8073,5415,89,1569,574,27398,1446,,-0.821821822,-0.293481932,-0.39,-0.205163911,0.917771883,,-3.28800237,-3.877362712,-2.742729402,-1.624527104,,735000.0,324528.665,231.045,2000000.0,544000.0,509.29,398.0,20.0,13.0,High to High
